id,name,min_headcount,max_headcount,address,phone,industry_id,country_id,description
a5a51cc1-eeb4-41bf-bf05-627e55dccce4,RevenueGrid,101,250,"650 Castro St suite 120 / 385, United States",+1 866-684-9276,f48b21eb-ac7d-437c-867a-0930a3341b79,19cdb402-a94c-4d35-9026-00920e05d9f1,"Revenue Grid empowers those who drive revenue by turning data into actionable intelligence.

Leveraging our world-leading CRM activity capture technology, we prioritize a data-first approach to revenue intelligence, generating real-time actionable insights from all your customer interactions. Revenue Grid ​​​​​​is highly configurable to meetthe unique needs of your organization, delivering value to all revenue-generating roles. With seamless integration capabilities, our solution fits right into your existing workflows and sales force automation platforms such as Salesforce. From AI-guided selling to accurate forecasting and enhanced pipeline visibility, Revenue Grid is your all-encompassing solution for revenue success."
29c8066c-f9a4-49b5-9767-c0ce13c3a2ff,ChurnZero,201,500,"717 D Street NW 2nd Floor Washington, DC 20004",+1 888-258-4999,f48b21eb-ac7d-437c-867a-0930a3341b79,19cdb402-a94c-4d35-9026-00920e05d9f1,"ChurnZero is your platform and partner for Customer Success. We help your subscription business succeed at scale by giving you everything you need to improve efficiency, increase revenue, and deliver the best possible customer experiences. 

ChurnZero helps your Customer Success team spot potential churn risks early and see renewal and expansion opportunities faster. Best-in-class automation and personalization,  in-app communications, and Customer Success AI™ make it easy to engage with customers and lead them to value. Our platform offers journeys, health scores, survey tools, segmentation, plays, reporting, real-time alerts, walkthroughs, collaboration centers and more, and integrates easily with your CRM and tech stack."
c283cd13-7582-4f4b-971f-e715c6f0ba3c,Clari,501,1000,"1154 Sonora Court Sunnyvale, CA 94086 United States",+650 265-2111,f48b21eb-ac7d-437c-867a-0930a3341b79,19cdb402-a94c-4d35-9026-00920e05d9f1,"Clari’s Revenue Platform improves efficiency, predictability, and growth across the entire revenue process. Clari gives revenue teams total visibility into their business, to drive process rigor, spot risk and opportunity in the pipeline, increase forecast accuracy, and drive overall efficiency."
7a03ee49-6fbd-477d-b033-d4144d893bcb,Gong,1001,5000,"Kemp House, 160 City Road, London, England, EC1V 2NX     201 Spear St. 13th Floor, San Francisco, CA 94105",+650 276-3068,f48b21eb-ac7d-437c-867a-0930a3341b79,19cdb402-a94c-4d35-9026-00920e05d9f1,"Gong enables revenue teams to realize their fullest potential by unveiling their customer reality. The patented Gong Revenue Intelligence Platform™ captures and understands every customer interaction, then delivers insights at scale, empowering revenue teams to make decisions based on data instead of opinions. Over 2,000 innovative companies likeLinkedIn, MuleSoft, Paychex, PayPal, Shopify, Slack, Sprout Social, Twilio, and Zillow trust Gong to power their customer reality. With Gong, customers experience improved win rates, increased deal sizes, and accelerated employee ramp-times. Gong is a private company headquartered in the San Francisco Bay Area."
98e65b01-ce8b-4160-b2a5-80e8ba949deb,Lattice Engines,101,250,"1820 Gateway Drive Suite 200, San Mateo, California 94404, US",+1 877 460-0010,f48b21eb-ac7d-437c-867a-0930a3341b79,19cdb402-a94c-4d35-9026-00920e05d9f1,"Lattice Engines is a computer software company that specializes in the fields of marketing, sales, data-driven business applications, and trigger events. Its applications combine buying signals and apply advanced machine learning to help drive predictable marketing and sales performance."
52616735-d80b-4329-9868-6f2f028edf3b,QuotaPath,51,100,"1608 Walnut St Fl 12, United States",+484 442-0420,f48b21eb-ac7d-437c-867a-0930a3341b79,19cdb402-a94c-4d35-9026-00920e05d9f1,"QuotaPath develops a sales commission tracking platform to simplify the process of maximizing quota attainment. Additionally, its platform provides compensation calculation and tracking, forecasting of attainments and earnings, offers a digital quota board to align quotas, and facilitates a digital organizational chart to track role and teamchanges over time, measure KPIs, and benchmark oneself against teammates."
3370ad68-ce6f-49eb-910d-eb4168ee5411,Xeneta,201,500,"Biskop Gunnerus gate 14A, Oslo, NO 0185, Norway",+47 21 64 24 10,febf1ddc-da1a-4016-9bf5-6f1d260ca6c0,5b85e078-9a74-4325-8eb2-82650e1695b8,The leading ocean and air freight rate benchmarking & market analytics platform transforming the shipping industry.
9e30669c-9a90-4aa2-a809-381d00ab2358,FreightWaves,51,200,"405 Cherry St, Chattanooga, Tennessee 37402, US",+423 205-3001,febf1ddc-da1a-4016-9bf5-6f1d260ca6c0,5b85e078-9a74-4325-8eb2-82650e1695b8,"FreightWaves is the most trusted provider of global supply chain market intelligence. Our high-frequency price, demand, and capacity data and analysis allow our customers to benchmark, analyse, monitor and forecast the global physical economy."
e483db78-c9b8-4b50-b044-495e42d53149,portcast,11,50,"Vanguard Building 1 Kallang Jct L 6, Singapore, Central Singapore, 339263, Singapore",+65 93377432,febf1ddc-da1a-4016-9bf5-6f1d260ca6c0,5b85e078-9a74-4325-8eb2-82650e1695b8,Portcast makes global supply chains more predictive and dynamic. Our technology enables logistics companies to improve profitability through dynamic demand forecasting and real-time vessel and container tracking. Improve the profitability of your logistics business with Portcast today.
825a6b78-2bfa-4091-8360-44aeb7e8f33e,Cargofive,11,50,"Avenida António Augusto de Aguiar, Lisboa, PT",-,febf1ddc-da1a-4016-9bf5-6f1d260ca6c0,5b85e078-9a74-4325-8eb2-82650e1695b8,Cargofive is a logistics solution that empowers freight forwarders to join the industry’s digital evolution.
