id,name,min_headcount,max_headcount,address,phone,industry,country
8b7d432a-cd43-4a2b-ba17-134a6f26c83b,Checkout.com,1900,10000,"Wenlock Works, Shepherdess Walk, London, N1 7BQ, United Kingdom.",+44 20 7323 3888,Fintech,United Kingdom
a5a51cc1-eeb4-41bf-bf05-627e55dccce4,RevenueGrid,101,250,"650 Castro St suite 120 / 385, United States",+1 866-684-9276,Revtech,United Kingdom
29c8066c-f9a4-49b5-9767-c0ce13c3a2ff,ChurnZero,201,500,"717 D Street NW 2nd Floor Washington, DC 20004",+1 888-258-4999,Revtech,United Kingdom
c283cd13-7582-4f4b-971f-e715c6f0ba3c,Clari,501,1000,"1154 Sonora Court Sunnyvale, CA 94086 United States",+650 265-2111,Revtech,United Kingdom
a5e058fe-8e6a-4c69-9148-c0953e445dd7,Kluster,11,50,"1 Poultry, London, England EC2R 8, GB",+0203 790 7722,Revtech,United Kingdom
7a03ee49-6fbd-477d-b033-d4144d893bcb,Gong,1001,5000,"Kemp House, 160 City Road, London, England, EC1V 2NX     201 Spear St. 13th Floor, San Francisco, CA 94105",+650 276-3068,Revtech,United Kingdom
98e65b01-ce8b-4160-b2a5-80e8ba949deb,Lattice Engines,101,250,"1820 Gateway Drive Suite 200, San Mateo, California 94404, US",+1 877 460-0010,Revtech,United Kingdom
52616735-d80b-4329-9868-6f2f028edf3b,QuotaPath,51,100,"1608 Walnut St Fl 12, United States",+484 442-0420,Revtech,United Kingdom
eed72071-a580-452d-a974-58fa4a146473,Duffel,51,200,"3 Finsbury Avenue, 6th Floor, London, EC2M 2PA, GB",+44 2081035995,Traveltech,United Kingdom
3370ad68-ce6f-49eb-910d-eb4168ee5411,Xeneta,201,500,"Biskop Gunnerus gate 14A, Oslo, NO 0185, Norway",+47 21 64 24 10,Traveltech,Norway
9e30669c-9a90-4aa2-a809-381d00ab2358,FreightWaves,51,200,"405 Cherry St, Chattanooga, Tennessee 37402, US",+423 205-3001,Traveltech,Norway
e483db78-c9b8-4b50-b044-495e42d53149,portcast,11,50,"Vanguard Building 1 Kallang Jct L 6, Singapore, Central Singapore, 339263, Singapore",+65 93377432,Traveltech,Norway
825a6b78-2bfa-4091-8360-44aeb7e8f33e,Cargofive,11,50,"Avenida António Augusto de Aguiar, Lisboa, PT",-,Traveltech,Norway
be2fd66b-f018-407a-ad47-6f98566db798,Freightcrate,11,50,"Rehem Mansion No 2, 1st Floor , 44 S B Road, Colaba, Mumbai, Maharashtra 400001, IN",+91 22 2288 1555,Traveltech,Norway
356c4672-cb33-4099-9005-6d6563980b99,Kasssh,1,10,"1 Elmfield Park, Bromley, England, BR1 1LU.",44 20 8058 4230,Fintech,United Kingdom
291206bf-b561-47c3-8a69-333a054ad23e,Revolut,5001,10000,"7 Westferry Circus, Canary Wharf, London, England, E14 4HD .",+442033228352,Fintech,United Kingdom
e504c86f-b6f4-48b9-9028-223d923efba1,Monzo,1001,5000,"Broadwalk House, 5 Appold St, London EC2A 2AG",+0800 802 1281 or +44 203 872 0620,Fintech,United Kingdom
bfea923e-b03a-495e-852c-e4f6a96bfc12,Starling Bank,1001,5000,"5th Floor, Fruit & Wool Exchange, Duval Square, London E1 6PW, UK",+44 20 7930 4450,Fintech,United Kingdom
8ebf8451-be84-4523-b752-6b197e575b0c,Zopa,501,1000,"Floor Cottons Centre, 47-49 Tooley Street, London, England, SE1 2QG",+44 207 291 8331,Fintech,United Kingdom
55d12015-a76b-4bb1-b05c-3b20b3caa6d7,Zepz,1001,5000,"2nd Floor · 62 Buckingham Gate · London SW1E 6AJ · England, United Kingdom. or 51 Eastcheap, London, EC3M 1DT",,Fintech,United Kingdom
63ab85fd-dada-4578-8d89-19f2b61b9065,SumUp,1001,5000,"16-20 Shorts Gardens, London, England, WC2H 9US",1-888-250-2164,Fintech,United Kingdom
01767b97-8d9d-474f-9a46-8ca2215ff1f2,Thought Machine,501,1000,"5 New Street Square, London, United Kingdom, EC4A 3TW",(212) 355-1430,Fintech,United Kingdom
788c5e8a-8edb-46ac-beec-5f8307528148,GoCardless,501,1000,"Sutton Yard, 65 Goswell Road, London, England, EC1V 7EN",+44 20 8338 9540.,Fintech,United Kingdom
5825fba1-f5ef-44f7-9153-7f54c684b0a0,Teya,1001,5000,"Third Floor, 20 Old Bailey, London, United Kingdom, EC4M 7AN",+44 1732 440999.,Fintech,United Kingdom
b0b28605-f191-4be4-8e39-d67619957d52,Blockchain.com,501,1000,"Minshull House, 67 Wellington Road North, Stockport, Cheshire, United Kingdom, SK4 2LP",+1-888-552-1019,Fintech,United Kingdom
3a76c50e-d98d-4219-8e3b-a9dc4cb8e97e,Allica Bank,201,500,"4th Floor 164 Bishopsgate, London, England, EC2M 4LX",0330 094 6666,Fintech,United Kingdom
1a93e8a0-4a3a-41c8-aa08-f7860ccaa5fa,ClearBank,201,500,"Borough Yards, 13 Dirty Lane, London, England, SE1 9PA",+44 (0) 203 111 2370,Fintech,United Kingdom
0cc7898e-9a6e-489b-b45c-d8326f134c53,Zilch,201,500,"123 Buckingham Palace Road, Victoria, England SW1W 9SL, GB",+44 (0)20 3405 9775,Fintech,United Kingdom
03208c22-eddf-4ae7-834f-ebfa4d18514e,TrueLayer,201,500,"Part Ground Floor (East), Floors 6 And 7 The Gilbert, 40 Finsbury Square, London, United Kingdom, EC2A 1PX",+44 8001116768,Fintech,United Kingdom
7b14a4ee-ef0a-4174-91ab-42248171b3dd,PrimaryBid,51,200,"5th Floor, Office B3 80 Victoria Street, Cardinal Place, London, United Kingdom, SW1E 5JL",020 3026 4750,Fintech,United Kingdom
1d43e957-fa4b-45f1-ad3f-20dbc02fa7d2,Copper,201,500,"17 Broadwick Street, London, England, W1F 0DE",866.656.1540,Fintech,United Kingdom
ccdbf8b1-aa4b-411c-bee0-f6bcbe37de09,Paddle,101,250,"London, England",(844) 723-5163,Fintech,United Kingdom
99782466-754b-4177-b834-095623dbf1b0,Zego,201,500,"2 Agnes Court 5 Floral Drive, London Colney, St. Albans, United Kingdom, AL2 1HB",0808 196 5330,Fintech,United Kingdom
e429c6fd-6c81-48d7-ada0-5f9656065a79,10x Banking,501,1000,"Suite A, 5th Floor, 33 Holborn, London EC1N 2HT, United Kingdom.",0146101,Fintech,United Kingdom
